experiment_id,timestamp,git_sha,dataset_sha,description_sha,model,feature_set,quarantines,cv_scheme,seed,primary_metric,metric_value,status,reason,artifact_path
EXP001.1,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,dummy_prevalence,top_30,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.00871,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.2,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,logistic_top30,top_30,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.08816,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.3,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,elasticnet_top30,top_30,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.08954,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.4,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,lightgbm_top_15,top_15,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.33566,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.5,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,lightgbm_top_30,top_30,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.66281,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.6,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,lightgbm_top_60,top_60,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.69918,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.7,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,lightgbm_top_120,top_120,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.68621,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.8,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,lightgbm_top_250,top_250,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.64419,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.9,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,lightgbm_freq_ge_0_50,freq_ge_0_50,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.19166,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
EXP001.10,2026-08-12T09:39:29.876099+00:00,33ac429d422b,7d1be90fe23b,7d30652b72d4,lightgbm_viewA_top_60,top_60,F2230|F3892|F3898|F3899|F3912|F3913|F3914|F3915|F3916|F3917|F3918|F3924|__UNNAMED__0,flat stratified 5-fold x 3 repeats,42,OOF PR-AUC (mean over repeats),0.65844,SUPERSEDED,flat protocol; feature selection pooled across dev folds. Superseded by the nested tournament as the selection estimate,artifacts/metrics/tournament_v2.json
