feature,variable_name,description,bank_finalized,feature_family,transform_family,window,direction,availability_class,sensitive,sensitive_kind,leakage_status,semantic_tags
F1,R_CASH_TXN_L7_14D,Ratio of Cash Total txns - last 7 to 14D,False,CASH,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,CASH|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F2,R_CASH_TXN_CR_L7_14D,Ratio of Cash Credit txns - last 7 to 14D,False,CASH,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,CASH|CREDIT|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F3,R_CASH_TXN_DB_L7_14D,Ratio of Cash Debit txns - last 7 to 14D,False,CASH,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,CASH|DEBIT|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F4,R_CASH_AMT_L7_14D,Ratio of Cash Total Amount - last 7 to 14D,False,CASH,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|CASH|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F5,R_CASH_AMT_CR_L7_14D,Ratio of Cash Credit Amount - last 7 to 14D,False,CASH,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CASH|CREDIT|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F6,R_CASH_AMT_DB_L7_14D,Ratio of Cash Debit Amount - last 7 to 14D,False,CASH,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|CASH|DEBIT|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F7,R_CHQ_TXN_L7_14D,Ratio of Cheque Total txns - last 7 to 14D,False,CHEQUE,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,CHEQUE|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F8,R_CHQ_TXN_CR_L7_14D,Ratio of Cheque Credit txns - last 7 to 14D,False,CHEQUE,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,CHEQUE|CREDIT|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F9,R_CHQ_TXN_DB_L7_14D,Ratio of Cheque Debit txns - last 7 to 14D,False,CHEQUE,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,CHEQUE|DEBIT|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F10,R_CHQ_AMT_L7_14D,Ratio of Cheque Total Amount - last 7 to 14D,False,CHEQUE,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,AMOUNT|CHEQUE|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F11,R_CHQ_AMT_CR_L7_14D,Ratio of Cheque Credit Amount - last 7 to 14D,False,CHEQUE,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,AMOUNT|CHEQUE|CREDIT|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F12,R_CHQ_AMT_DB_L7_14D,Ratio of Cheque Debit Amount - last 7 to 14D,False,CHEQUE,RATIO_WINDOW,L7_14D,DEBIT,BEHAVIORAL,False,,SAFE,AMOUNT|CHEQUE|DEBIT|RATIO_WINDOW|SHORT_WINDOW|WINDOW_L7_14D
F13,R_NON_CASH_CHQ_TXN_L7_14D,Ratio of Non Cash Non Cheque Total txns - last 7 to 14D,False,NON_CASH_CHQ,RATIO_WINDOW,L7_14D,BOTH,BEHAVIORAL,False,,SAFE,NON_CASH_CHQ|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
F14,R_NON_CASH_CHQ_TXN_CR_L7_14D,Ratio of Non Cash Non Cheque Credit txns - last 7 to 14D,False,NON_CASH_CHQ,RATIO_WINDOW,L7_14D,CREDIT,BEHAVIORAL,False,,SAFE,CREDIT|NON_CASH_CHQ|RATIO_WINDOW|SHORT_WINDOW|TRANSACTION_COUNT|WINDOW_L7_14D
