feature,selection_frequency
F3898,1.0
F3908,1.0
F3914,1.0
F3913,0.9949999999999999
F1863,0.9650000000000001
F158,0.9400000000000001
F2074,0.925
F3886,0.875
F3640,0.805
F1084,0.7949999999999999
F886,0.715
F1570,0.695
F2387,0.6799999999999999
F1968,0.67
F267,0.665
F564,0.635
F3921,0.59
F2999,0.585
F3920,0.575
F996,0.5349999999999999
F479,0.53
F1367,0.51
F259,0.5050000000000001
F3105,0.495
F3534,0.495
F2686,0.49000000000000005
F474,0.48
F270,0.47000000000000003
F159,0.465
F162,0.465
F2486,0.45999999999999996
F3805,0.45999999999999996
F2612,0.45499999999999996
F2076,0.445
F2385,0.44499999999999995
F838,0.43499999999999994
F2386,0.43499999999999994
F3868,0.43000000000000005
F3502,0.43
F3811,0.43
F2595,0.42499999999999993
F12,0.41
F1224,0.41
F1320,0.41
F1755,0.41
F3799,0.4
F2998,0.3949999999999999
F2281,0.385
F3916,0.385
F448,0.37
F1936,0.37
F1813,0.365
F3919,0.365
F1198,0.36
F1216,0.36
F1246,0.36
F1384,0.36
F3484,0.36
F450,0.35
F2489,0.34500000000000003
F2890,0.34500000000000003
F1086,0.345
F304,0.335
F2891,0.33
F141,0.325
F949,0.31999999999999995
F3806,0.31999999999999995
F3528,0.315
F2184,0.30999999999999994
F1427,0.305
F1057,0.29500000000000004
F1597,0.29500000000000004
F3532,0.29500000000000004
F1165,0.29
F3807,0.29
F510,0.28500000000000003
F984,0.28
F105,0.27999999999999997
F2390,0.27999999999999997
F1529,0.275
F778,0.27
F3801,0.26999999999999996
F1319,0.265
F1540,0.265
F2137,0.265
F2585,0.265
F2624,0.265
F2724,0.265
F3492,0.265
F1705,0.26499999999999996
F2485,0.26
F1966,0.25999999999999995
F2290,0.255
F2484,0.255
F302,0.25
F1200,0.25
F1819,0.25
F1921,0.25
F2233,0.25
F3337,0.25
F3922,0.25
F1222,0.24500000000000002
F3819,0.24500000000000002
F730,0.24000000000000005
F400,0.24
F3748,0.24
F3750,0.24
F1612,0.23500000000000001
F1815,0.23500000000000001
F53,0.23499999999999996
F338,0.22999999999999998
F1462,0.22999999999999998
F3800,0.22999999999999998
F628,0.225
F457,0.22000000000000003
F1205,0.22000000000000003
F2182,0.22000000000000003
F567,0.21999999999999997
F1647,0.21999999999999997
F2029,0.21999999999999997
F200,0.21500000000000002
F262,0.21500000000000002
F736,0.215
F328,0.21000000000000002
F2772,0.21000000000000002
F3701,0.21000000000000002
F3923,0.21000000000000002
F1166,0.20500000000000002
F2593,0.20500000000000002
F2787,0.20500000000000002
F201,0.205
F139,0.2
F157,0.19999999999999998
F3813,0.19999999999999998
F61,0.195
F422,0.195
F964,0.195
F1078,0.195
F2418,0.195
F3598,0.195
F148,0.19
F376,0.19
F1318,0.19
F417,0.185
F3702,0.185
F92,0.18
F156,0.18
F336,0.18
F935,0.18
F1058,0.18
F3526,0.18
F3708,0.18
F3812,0.175
F3900,0.175
F281,0.17
F2388,0.17
F3238,0.17
F62,0.165
F415,0.165
F2357,0.165
F3104,0.165
F1381,0.16499999999999998
F1821,0.16499999999999998
F2328,0.16499999999999998
F3103,0.16499999999999998
F3642,0.16499999999999998
F58,0.16
F477,0.16
F1814,0.16
F3536,0.16
F3706,0.16
F98,0.15999999999999998
F1186,0.15999999999999998
F2786,0.15999999999999998
F3700,0.15999999999999998
F64,0.155
F204,0.155
F524,0.155
F2488,0.155
F3485,0.155
F3634,0.15499999999999997
F3641,0.15499999999999997
F255,0.15
F301,0.15
F379,0.15
F1157,0.15
F1385,0.15
F2443,0.15
F2487,0.15
F2583,0.15
F3831,0.14999999999999997
F160,0.14500000000000002
F260,0.14500000000000002
F1489,0.14500000000000002
F1707,0.14500000000000002
F2685,0.14500000000000002
F116,0.145
F2346,0.14499999999999996
F2784,0.14499999999999996
F358,0.14
F408,0.14
F3841,0.14
F163,0.13999999999999999
F1072,0.13999999999999999
