feature,selection_frequency,mean_rank_when_selected,mean_gain_share
F3642,0.7,33.714285714285715,0.0037357985008968026
F3136,0.7,23.714285714285715,0.0022651911943045917
F364,0.6,26.166666666666668,0.0018887854387218362
F3091,0.6,35.5,0.0016271251484427027
F3493,0.6,38.0,0.0013348604498349516
F950,0.6,33.166666666666664,0.0013333102443320432
F3805,0.5,11.0,0.1917827822978823
F3748,0.5,23.8,0.018635599125758805
F3486,0.5,37.0,0.003911546664851681
F3810,0.5,17.6,0.0024080999898079087
F3804,0.5,26.4,0.0017852933991962514
F3640,0.5,33.2,0.0017195813351013264
F3495,0.5,34.6,0.0012387731049085414
F3105,0.4,14.5,0.08032759924538088
F3492,0.4,33.0,0.013495354281115474
F1922,0.4,39.25,0.0017004885058282749
F193,0.4,33.5,0.0016786639858680976
F3796,0.4,32.25,0.0016560305026985093
F1274,0.4,29.5,0.0016306621053470975
F3603,0.4,41.25,0.001296182379199189
F3908,0.4,40.5,0.0012947072636469174
F956,0.4,39.25,0.001267944700161539
F2638,0.4,42.5,0.0011962558334553505
F3886,0.4,49.25,0.0009485300106738928
F1819,0.3,8.333333333333334,0.21070712728259736
F2489,0.3,6.333333333333333,0.13607538221162058
F1813,0.3,21.0,0.11185045314596785
F1057,0.3,11.333333333333334,0.11014987665836133
F1166,0.3,24.333333333333332,0.10373401839507551
F3807,0.3,34.0,0.09216356905345606
F2999,0.3,12.0,0.08323461735163794
F2390,0.3,31.0,0.058082516429610424
F2029,0.3,32.0,0.05629167238977103
F3103,0.3,16.666666666666668,0.0401429753441494
F3811,0.3,21.333333333333332,0.026746202907280244
F471,0.3,11.666666666666666,0.010132374932098632
F466,0.3,23.0,0.0029578033642402336
F3801,0.3,15.333333333333334,0.0027042564760434477
F2686,0.3,24.666666666666668,0.0023968597231103623
F1045,0.3,23.666666666666668,0.0020578868182266476
F2581,0.3,35.0,0.0018745118625413837
F3873,0.3,39.333333333333336,0.001795967899139457
F1863,0.3,36.333333333333336,0.0016441582263803961
F1816,0.3,38.666666666666664,0.0015257932639468742
F468,0.3,39.0,0.0014989132801636494
F3784,0.3,31.0,0.0014922225425849829
MG_RAIL_FRAGMENTATION,0.3,37.0,0.0014385125342410172
F949,0.3,31.0,0.0014132887720691024
F1602,0.3,33.333333333333336,0.0013572350172332641
F2182,0.3,41.333333333333336,0.0013102328756661515
F3487,0.3,33.333333333333336,0.0012960909490724083
F2032,0.3,39.0,0.0012555019157721914
F148,0.3,37.0,0.0012299354153569354
F1710,0.3,37.666666666666664,0.0011972737997617846
F2350,0.3,41.0,0.0011515047132658587
F1249,0.3,42.0,0.0011275246123661749
F1573,0.3,53.333333333333336,0.0008277261712253866
F1815,0.2,2.0,0.1904732228147882
F3799,0.2,15.5,0.13946288642949659
F1597,0.2,17.5,0.06597037528913054
F2397,0.2,6.5,0.039938397548605134
F3592,0.2,7.5,0.03329646035215262
F1831,0.2,27.0,0.027935650389865986
F3813,0.2,21.0,0.027209900652819554
F2831,0.2,26.5,0.02305285134162696
F3073,0.2,21.5,0.022238490303006925
F2598,0.2,15.5,0.018962142338447133
F2672,0.2,13.5,0.01547245726694894
F2691,0.2,15.5,0.01376647041300075
F2595,0.2,21.0,0.011431774426298733
F3835,0.2,12.0,0.006292631080037438
F366,0.2,15.5,0.003060420699168448
F2671,0.2,19.5,0.0025102394319922996
F3921,0.2,19.0,0.002407370657743724
MG_PASSTHROUGH_7D,0.2,18.0,0.0022406597514420734
F2637,0.2,31.0,0.002169114381342143
F1861,0.2,30.0,0.0021014386679493167
F1924,0.2,20.0,0.0020985396032670704
F2184,0.2,24.5,0.002021602079259618
MG_ALERT_CONVERGENCE,0.2,24.5,0.0020114407751208856
F3535,0.2,20.0,0.0019444093541005042
F2681,0.2,38.0,0.0018916439651340722
F3489,0.2,30.0,0.0018140352126961232
F2624,0.2,34.0,0.001800815857187572
F1705,0.2,27.5,0.0017216867549125227
F422,0.2,37.0,0.001699168791321831
F3787,0.2,33.5,0.0016573370616891525
F120,0.2,26.5,0.0016430576192801387
F2738,0.2,24.0,0.0016302517495626417
F164,0.2,30.5,0.001621486223671414
F3802,0.2,36.5,0.0016130447558838188
F163,0.2,27.5,0.0015839237676977807
F1810,0.2,31.0,0.0015801244825934596
F499,0.2,31.5,0.0015750637819615808
F3518,0.2,35.5,0.0014733364383831388
F1897,0.2,37.5,0.0014324142017341783
F3711,0.2,37.0,0.0013970359062359305
F1703,0.2,38.0,0.0013900347746322313
F2736,0.2,31.5,0.001377342472672725
F2685,0.2,38.5,0.0013691315084362018
F1171,0.2,41.0,0.0013513204265989361
F3601,0.2,38.5,0.001348681550761086
F1323,0.2,40.5,0.0013415018912240613
F1495,0.2,34.5,0.0013289768205197977
F2143,0.2,32.0,0.0013256091477231577
F570,0.2,38.5,0.0013113339876513423
F456,0.2,35.0,0.0012921785337620352
F261,0.2,44.0,0.0012775077537251088
F3093,0.2,41.0,0.0012716669161566732
F264,0.2,50.0,0.0012665382607030655
F1165,0.2,40.5,0.0012060200853196731
F158,0.2,49.5,0.001198668382662287
F2527,0.2,39.5,0.0011823895972005226
F3061,0.2,41.0,0.001151711368798803
F1491,0.2,39.0,0.0011084152248350772
F114,0.2,42.0,0.0010980194636832086
F150,0.2,41.0,0.0010897376364267402
F3808,0.2,39.0,0.0010753077018104264
F1273,0.2,45.0,0.0010639982721462906
F1596,0.2,40.5,0.001052257723275487
F1640,0.2,40.0,0.0010299403619221405
F1818,0.2,47.5,0.0010245201495850454
F1209,0.2,49.5,0.00099412113201539
F1929,0.2,44.0,0.0009877067840175077
F2140,0.2,55.5,0.0008909381754612601
F2743,0.2,53.0,0.0008590102228932621
F1058,0.2,51.5,0.0008565543980595424
F3645,0.2,59.0,0.0007769889772266435
F558,0.2,55.5,0.0007234249645565673
F270,0.1,1.0,0.369347781726758
F3806,0.1,1.0,0.3122578967677142
F1706,0.1,2.0,0.2289481526060265
F1712,0.1,2.0,0.2157679622000107
F2486,0.1,3.0,0.10839325371898605
F3700,0.1,3.0,0.09488277513734798
F457,0.1,3.0,0.0786703869941858
F64,0.1,4.0,0.07020542883910146
F1936,0.1,4.0,0.06726661899007078
F573,0.1,5.0,0.05844592349740206
F151,0.1,4.0,0.04800385920172872
F1107,0.1,5.0,0.04381864639140013
F408,0.1,6.0,0.04373503848230879
F1968,0.1,4.0,0.04358733755451367
F2487,0.1,5.0,0.043124130244028634
F325,0.1,5.0,0.04167699878625748
F1939,0.1,5.0,0.04090457625733448
F2244,0.1,6.0,0.039513950014738154
F510,0.1,5.0,0.03739592998939521
F1751,0.1,6.0,0.03465519457460683
F224,0.1,7.0,0.03379368824560781
F1888,0.1,8.0,0.033066363289852255
F68,0.1,6.0,0.030820472075424283
F565,0.1,6.0,0.028227902050629736
F1564,0.1,9.0,0.02580731470404048
F1645,0.1,7.0,0.025587202514592868
F426,0.1,5.0,0.0251309258997267
F580,0.1,8.0,0.02422426104450574
F939,0.1,9.0,0.02340751892546468
F2593,0.1,7.0,0.023313863819522992
F3888,0.1,6.0,0.022039770017990835
F2794,0.1,8.0,0.02145370535439299
F411,0.1,6.0,0.02042775416289779
F1967,0.1,8.0,0.020340501487763007
F2532,0.1,6.0,0.01949729400084597
F2278,0.1,8.0,0.019050016258694437
F3728,0.1,7.0,0.018631055642661185
F3817,0.1,8.0,0.017997761412260872
F3104,0.1,9.0,0.01799509670701085
F3754,0.1,10.0,0.01741156043084883
F3838,0.1,7.0,0.017175365705169244
F3758,0.1,7.0,0.016760529105104192
F3757,0.1,7.0,0.016444381851928546
