arm,metric,std_of_paired_diff,sign_test_p,wilcoxon_p,paired_t_p,verdict,protocol
full_clean,0.78161,,,,,BASELINE,NESTED
full_clean_top200,0.80577,0.03169,0.03516,0.00836,0.01048,REPLACES_FULL_CLEAN,NESTED
full_clean_top100,0.77533,0.01981,0.30176,0.33026,0.24005,NO_CHANGE,NESTED
full_clean_top60,0.73103,0.04882,0.00098,0.00018,0.00128,NO_CHANGE,NESTED
full_clean_top30,0.63025,0.11461,6e-05,6e-05,0.00016,NO_CHANGE,NESTED
bank_prior,0.28676,0.12685,6e-05,6e-05,0.0,NO_CHANGE,NESTED
behavior_only,0.7626,0.02988,0.11847,0.03015,0.02729,NO_CHANGE,NESTED
behavior_profile,0.76603,0.02488,0.03516,0.03015,0.02945,NO_CHANGE,NESTED
alert_only,0.06336,0.09257,6e-05,6e-05,0.0,NO_CHANGE,NESTED
no_meta_features,0.78443,0.01685,0.3877,0.93747,0.5265,NO_CHANGE,NESTED
meta_features_only,0.16754,0.12498,6e-05,6e-05,0.0,NO_CHANGE,NESTED
