model,feature_set,leakage_safe,outer_repeats,pr_auc_mean,pr_auc_std,pr_auc_ci95,roc_auc,accuracy,balanced_accuracy,precision,recall,f1,f2,mcc,recall_at_top25,recall_at_top50,recall_at_top100,precision_at_top25,precision_at_top50,precision_at_top100,fp_per_1000_legit,brier,ece,latency_ms,model_size_mb,status
xgboost_top_120,top_120,true,3,0.76904,0.03261,"[0.68803, 0.85005]",0.95771,0.99119,0.88715,0.5,0.78125,0.60976,0.70225,0.621,0.39062,0.64583,0.78125,1.0,0.82667,0.5,6.944,0.004202,0.00644,466.2,3.465,CHAMPION
xgboost_top_60,top_60,true,3,0.74082,0.061,"[0.58928, 0.89236]",0.94201,0.99082,0.87664,0.48667,0.76042,0.5935,0.68352,0.60414,0.38542,0.64062,0.76042,0.98667,0.82,0.48667,7.13,0.011023,0.03208,,,CHALLENGER
lightgbm_top_60,top_60,true,3,0.69918,0.03347,"[0.61602, 0.78233]",0.93968,0.99036,0.86351,0.47,0.73438,0.57317,0.66011,0.58307,0.38021,0.60938,0.73438,0.97333,0.78,0.47,7.361,0.004099,0.00216,,,FINALIST
catboost_top_60,top_60,true,3,0.6963,0.05105,"[0.56949, 0.82312]",0.93226,0.99055,0.86876,0.47667,0.74479,0.5813,0.66948,0.5915,0.36979,0.61458,0.74479,0.94667,0.78667,0.47667,7.269,0.030594,0.09396,,,FINALIST
xgboost_top_30,top_30,true,3,0.68974,0.01499,"[0.65249, 0.72699]",0.93336,0.99064,0.87139,0.48,0.75,0.58537,0.67416,0.59571,0.36979,0.57292,0.75,0.94667,0.73333,0.48,7.222,0.01174,0.0372,,,FINALIST
lightgbm_top_120,top_120,true,3,0.68621,0.04954,"[0.56314, 0.80928]",0.93874,0.98972,0.84512,0.44667,0.69792,0.54472,0.62734,0.55357,0.38542,0.59375,0.69792,0.98667,0.76,0.44667,7.685,0.004262,0.0025,,,FINALIST
lightgbm_top_30,top_30,true,3,0.66281,0.0197,"[0.61387, 0.71176]",0.9357,0.98972,0.84512,0.44667,0.69792,0.54472,0.62734,0.55357,0.36979,0.57812,0.69792,0.94667,0.74,0.44667,7.685,0.00459,0.00439,,,FINALIST
lightgbm_viewA_top_60,top_60 (A_broad_behavioral),true,3,0.65844,0.02867,"[0.58721, 0.72966]",0.94231,0.98963,0.84249,0.44333,0.69271,0.54065,0.62266,0.54936,0.375,0.54688,0.69271,0.96,0.7,0.44333,7.731,0.00449,0.00186,,,FINALIST
catboost_top_120,top_120,true,3,0.6467,0.08565,"[0.43393, 0.85946]",0.9316,0.99027,0.86088,0.46667,0.72917,0.56911,0.65543,0.57886,0.33854,0.57292,0.72917,0.86667,0.73333,0.46667,7.407,0.039281,0.11714,,,FINALIST
lightgbm_viewB_top_60,top_60 (B_stable_compact),true,3,0.64543,0.05936,"[0.49798, 0.79289]",0.94271,0.98954,0.83986,0.44,0.6875,0.53659,0.61798,0.54514,0.36979,0.55729,0.6875,0.94667,0.71333,0.44,7.778,0.004687,0.00342,,,FINALIST
lightgbm_top_250,top_250,true,3,0.64419,0.03673,"[0.55295, 0.73543]",0.93932,0.98899,0.8241,0.42,0.65625,0.5122,0.58989,0.51986,0.38542,0.54167,0.65625,0.98667,0.69333,0.42,8.056,0.004604,0.00145,,,FINALIST
lightgbm_full_pool,full_pool [n=3925],true,3,0.58743,0.03378,"[0.50352, 0.67135]",0.92861,0.98834,0.80571,0.39667,0.61979,0.48374,0.55712,0.49036,0.36458,0.51562,0.61979,0.93333,0.66,0.39667,8.38,0.005012,0.00197,,,FINALIST
catboost_top_30,top_30,true,3,0.56136,0.13778,"[0.21909, 0.90362]",0.91561,0.98825,0.80308,0.39333,0.61458,0.47967,0.55243,0.48614,0.3125,0.48958,0.61458,0.8,0.62667,0.39333,8.426,0.055689,0.13728,,,FINALIST
REJECTED_leakage_lgbm_with_F3912,unrecorded,false,2,0.9419,0.01677,"[0.79124, 1.09256]",0.99331,0.99449,0.98174,0.62,0.96875,0.7561,0.87079,0.77271,0.375,0.75,0.96875,0.96,0.96,0.62,5.278,0.001663,0.00885,,,REJECTED
tabpfn_top_60,top_60,true,3,0.911,0.00534,"[0.89774, 0.92427]",0.99238,0.99348,0.95284,0.58333,0.91146,0.71138,0.81929,0.72636,0.39062,0.77083,0.91146,1.0,0.98667,0.58333,5.787,0.001796,0.00132,,,REJECTED
tabpfn_top60,top60,false,1,0.89696,0.0,n/a (single repeat),0.98905,0.99339,0.95021,0.58,0.90625,0.70732,0.81461,0.72214,0.39062,0.75,0.90625,1.0,0.96,0.58,5.833,0.002008,0.00134,,,REJECTED
catboost_tuned_top60,top_60,false,5,0.80773,0.05035,"[0.74522, 0.87025]",0.96482,0.99202,0.9108,0.53,0.82812,0.64634,0.74438,0.65893,0.38438,0.6875,0.82812,0.984,0.88,0.53,6.528,0.014328,0.04641,,,REJECTED
lightgbm_tuned_top60,top_60,false,5,0.77166,0.05903,"[0.69837, 0.84496]",0.96135,0.9913,0.89031,0.504,0.7875,0.61463,0.70787,0.62606,0.38125,0.65938,0.7875,0.976,0.844,0.504,6.889,0.003575,0.00386,,,REJECTED
lightgbm_tuned_full,full_clean,false,5,0.76372,0.02492,"[0.73278, 0.79467]",0.96022,0.99119,0.88715,0.5,0.78125,0.60976,0.70225,0.621,0.3875,0.64687,0.78125,0.992,0.828,0.5,6.944,0.003859,0.00255,,,REJECTED
lightgbm_tuned_top30,top_30,false,5,0.75623,0.02851,"[0.72084, 0.79163]",0.96469,0.99102,0.88242,0.494,0.77187,0.60244,0.69382,0.61341,0.38438,0.62813,0.77187,0.984,0.804,0.494,7.028,0.003736,0.00259,,,REJECTED
xgboost_tuned_top60,top_60,false,5,0.75596,0.07361,"[0.66456, 0.84737]",0.9483,0.99135,0.89188,0.506,0.79063,0.61707,0.71067,0.62858,0.37188,0.64375,0.79063,0.952,0.824,0.506,6.861,0.019147,0.06578,,,REJECTED
lightgbm_tuned_top15,top_15,false,5,0.64397,0.04693,"[0.58571, 0.70224]",0.95147,0.98981,0.84774,0.45,0.70312,0.54878,0.63202,0.55779,0.35313,0.5375,0.70312,0.904,0.688,0.45,7.639,0.005283,0.00757,,,REJECTED
lightgbm_baseline,unrecorded,false,5,0.61416,0.05297,"[0.54840, 0.67993]",0.93593,0.9886,0.81306,0.406,0.63438,0.49512,0.57022,0.50216,0.37812,0.53125,0.63438,0.968,0.68,0.406,8.25,0.004892,0.00373,,,REJECTED
lightgbm_top_15,top_15,true,3,0.33566,0.17134,"[-0.08998, 0.76129]",0.89306,0.98449,0.69536,0.25667,0.40104,0.31301,0.36049,0.31336,0.20312,0.30208,0.40104,0.52,0.38667,0.25667,10.324,0.007338,0.00684,,,REJECTED
lightgbm_viewE_top_60,top_60 (E_profile_merchant),true,3,0.30611,0.10311,"[0.04997, 0.56225]",0.86428,0.98385,0.67697,0.23333,0.36458,0.28455,0.32772,0.28386,0.23958,0.30729,0.36458,0.61333,0.39333,0.23333,10.648,0.007749,0.00922,,,REJECTED
logistic_l2,unrecorded,false,5,0.23283,0.01345,"[0.21612, 0.24953]",0.92024,0.98733,0.77681,0.36,0.5625,0.43902,0.50562,0.444,0.00625,0.24688,0.5625,0.016,0.316,0.36,8.889,0.014257,0.01487,,,REJECTED
lightgbm_freq_ge_0_50,freq_ge_0_50 [n=13],true,3,0.19166,0.03025,"[0.11653, 0.26680]",0.86343,0.9821,0.62705,0.17,0.26562,0.20732,0.23876,0.20379,0.13542,0.20312,0.26562,0.34667,0.26,0.17,11.528,0.008336,0.00931,,,REJECTED
elasticnet_top30,top_30,true,3,0.08954,0.0055,"[0.07588, 0.10320]",0.87953,0.98082,0.59027,0.12333,0.19271,0.15041,0.17322,0.14479,0.07812,0.11979,0.19271,0.2,0.15333,0.12333,12.176,0.131341,0.2358,,,REJECTED
logistic_top30,top_30,true,3,0.08816,0.00556,"[0.07435, 0.10196]",0.88075,0.98073,0.58764,0.12,0.1875,0.14634,0.16854,0.14057,0.07292,0.11458,0.1875,0.18667,0.14667,0.12,12.222,0.129108,0.23107,,,REJECTED
lightgbm_viewC_top_15,top_15 (C_bank_prior),true,3,0.02949,0.01348,"[-0.00399, 0.06298]",0.67231,0.97843,0.52196,0.03667,0.05729,0.04472,0.0515,0.03522,0.01562,0.02604,0.05729,0.04,0.03333,0.03667,13.38,0.008806,0.00661,,,REJECTED
lightgbm_viewD_top_15,top_15 (D_alert_context),true,3,0.02059,0.00251,"[0.01435, 0.02683]",0.70457,0.97797,0.50882,0.02,0.03125,0.02439,0.02809,0.01415,0.01042,0.01562,0.03125,0.02667,0.02,0.02,13.611,0.008794,0.00676,,,REJECTED
dummy_prevalence,top_30,true,3,0.00871,0.0,"[0.00871, 0.00871]",0.49375,0.97742,0.49306,0.0,0.0,0.0,0.0,-0.01114,0.0,0.0,0.0,0.0,0.0,0.0,13.889,0.008733,0.0,,,REJECTED
