model,family,view,feature_set,n_features,oof_pr_auc_mean,oof_pr_auc_std,oof_pr_auc_min_repeat,oof_roc_auc_mean,recall_at_100,generalization_score,seconds
xgboost_top_120,xgboost,ALL_ADMISSIBLE,top_120,120,0.76904,0.02663,0.74927,0.95771,0.78125,0.83385,32.3
xgboost_top_60,xgboost,ALL_ADMISSIBLE,top_60,60,0.74082,0.04981,0.68068,0.94201,0.76042,0.79196,22.2
lightgbm_top_60,lightgbm,ALL_ADMISSIBLE,top_60,60,0.69918,0.02733,0.66243,0.93968,0.73438,0.75895,29.7
catboost_top_60,catboost,ALL_ADMISSIBLE,top_60,60,0.6963,0.04168,0.65837,0.93226,0.74479,0.74994,75.3
xgboost_top_30,xgboost,ALL_ADMISSIBLE,top_30,30,0.68974,0.01224,0.67415,0.93336,0.75,0.75862,13.2
lightgbm_top_120,lightgbm,ALL_ADMISSIBLE,top_120,120,0.68621,0.04045,0.63087,0.93874,0.69792,0.73578,34.4
lightgbm_top_30,lightgbm,ALL_ADMISSIBLE,top_30,30,0.66281,0.01609,0.646,0.9357,0.69792,0.72456,17.8
lightgbm_viewA_top_60,lightgbm,A_broad_behavioral,top_60,60,0.65844,0.02341,0.62561,0.94231,0.69271,0.716,31.4
catboost_top_120,catboost,ALL_ADMISSIBLE,top_120,120,0.6467,0.06993,0.55161,0.9316,0.72917,0.68465,128.2
lightgbm_viewB_top_60,lightgbm,B_stable_compact,top_60,60,0.64543,0.04847,0.57715,0.94271,0.6875,0.68995,26.6
lightgbm_top_250,lightgbm,ALL_ADMISSIBLE,top_250,250,0.64419,0.02999,0.60412,0.93932,0.65625,0.69482,49.8
lightgbm_full_pool,lightgbm,ALL_ADMISSIBLE,full_pool,3925,0.58743,0.02758,0.55561,0.92861,0.61979,0.63562,409.4
catboost_top_30,catboost,ALL_ADMISSIBLE,top_30,30,0.56136,0.1125,0.41553,0.91561,0.61458,0.56657,58.4
lightgbm_top_15,lightgbm,ALL_ADMISSIBLE,top_15,15,0.33566,0.1399,0.22834,0.89306,0.40104,0.30581,15.1
lightgbm_viewE_top_60,lightgbm,E_profile_merchant,top_60,60,0.30611,0.08419,0.19078,0.86428,0.36458,0.30047,23.4
lightgbm_freq_ge_0_50,lightgbm,ALL_ADMISSIBLE,freq_ge_0_50,13,0.19166,0.0247,0.1572,0.86343,0.26562,0.20588,7.8
elasticnet_top30,elasticnet,ALL_ADMISSIBLE,top_30,30,0.08954,0.00449,0.08576,0.87953,0.19271,0.10657,114.4
logistic_top30,logistic,ALL_ADMISSIBLE,top_30,30,0.08816,0.00454,0.08243,0.88075,0.1875,0.10464,0.9
lightgbm_viewC_top_15,lightgbm,C_bank_prior,top_15,15,0.02949,0.01101,0.01554,0.67231,0.05729,0.02972,6.0
lightgbm_viewD_top_15,lightgbm,D_alert_context,top_15,15,0.02059,0.00205,0.01825,0.70457,0.03125,0.02269,8.4
dummy_prevalence,dummy,ALL_ADMISSIBLE,top_30,30,0.00871,0.0,0.00871,0.49375,0.0,0.00871,0.2
