feature,dtype,n_missing,missing_rate,n_unique,is_constant,top_value_share,is_quasi_constant,zero_rate,min,max,mean,std,q01,q25,q50,q75,q99,is_integer_valued,top_values,content_hash,duplicate_of
__UNNAMED__0,Float64,0,0.0,9082,false,0.00011,false,0.0,1.0,9082.0,4541.5,2621.7475564973834,91.81,2271.25,4541.5,6811.75,8991.19,true,,7b55c1b5b3ba83987ae69ce46f74d4c37c01a767c2893b2cef0c66b446210bb2,
F1,Float64,6491,0.71471,61,false,0.53956,false,0.183713,0.0,1.0,0.6797221150135083,0.39249747098911125,0.0,0.43,1.0,1.0,1.0,false,,8c452af253cf49daf5e4d233ae5e9516682afa5355c0b8c3981da6db0b4786a6,
F2,Float64,7550,0.831315,57,false,0.510444,false,0.197781,0.0,1.0,0.6561292428198434,0.3982897072083273,0.0,0.33,1.0,1.0,1.0,false,,101bd96c340a2c26f679f3a492895bf6b04b735cd03b17d2a5cb47633d13c204,
F3,Float64,7634,0.840564,26,false,0.652624,false,0.207182,0.0,1.0,0.7247306629834254,0.40872823151401844,0.0,0.5,1.0,1.0,1.0,false,,48368835214f1fd9498134c340b2329861039db252e30fb2753866852861cfc4,
F4,Float64,6491,0.71471,100,false,0.553068,false,0.183713,0.0,1.0,0.691721343110768,0.40102768542931005,0.0,0.38,1.0,1.0,1.0,false,,35c4d485b38373ee3d3d521ef321a963b2f0879e476c78482d5d7d2d47a4e6d1,
F5,Float64,7550,0.831315,88,false,0.513708,false,0.197781,0.0,1.0,0.6594973890339426,0.40411033782469113,0.0,0.32,1.0,1.0,1.0,false,,0a5d7a5c528084255a1c55240b758cd660fb41b771c3d5e8f809f71b4c24d689,
F6,Float64,7634,0.840564,82,false,0.652624,false,0.207182,0.0,1.0,0.7278107734806629,0.4135738660098859,0.0,0.43,1.0,1.0,1.0,false,,185e1e9958f696850ad9deb7c8bf69eb6f0dea6853b2fc4f0b34feb244bba6fe,
F7,Float64,8227,0.905858,71,false,0.291228,false,0.290058,0.0,1.0,0.4871345029239766,0.3996947366350459,0.0,0.0,0.5,1.0,1.0,false,,ae8255b73f5c99bf37c0de2046464c85b52a467f05bcc4b33a111d0001cee708,
F8,Float64,8594,0.946267,42,false,0.411885,false,0.411885,0.0,1.0,0.441844262295082,0.43543538641888907,0.0,0.0,0.33,1.0,1.0,false,,37e748f0ea8384cfd7e0d818fe72cd384e3a39428c3bbb664dc657535c7b33b0,
F9,Float64,8357,0.920172,70,false,0.308966,false,0.271724,0.0,1.0,0.5086758620689655,0.39800282242559487,0.0,0.0,0.5,1.0,1.0,false,,a250123f746dc648e2366fbde00c85547d7512161b22f3496777a553f089f524,
F10,Float64,8227,0.905858,96,false,0.297076,false,0.297076,0.0,1.0,0.4872748538011696,0.4233704230324349,0.0,0.0,0.47,1.0,1.0,false,,0d7446069272a59f83cc17264a6b0d423c7e8d02ab3fc730b787093c51011a54,
F11,Float64,8594,0.946267,74,false,0.415984,false,0.415984,0.0,1.0,0.44465163934426233,0.4482706771096331,0.0,0.0,0.325,1.0,1.0,false,,a9c05bd4458bcf15f32c4cd3354797d7b60b510dfc5df93733ef67ba78cb1647,
F12,Float64,8357,0.920172,93,false,0.310345,false,0.28,0.0,1.0,0.5136275862068965,0.4197229947744696,0.0,0.0,0.53,1.0,1.0,false,,e5b08fe784dc5fea8c3f23491e1e4d39b44ae78ada9c8d5d1cc500005ddf5748,
F13,Float64,85,0.009359,95,false,0.162054,false,0.003001,0.0,1.0,0.6483694564854952,0.20828498848023932,0.23,0.5,0.6,0.78,1.0,false,,a68e6e72c3d43d245743da626c527db9fc334fefed91f269c89ebf2a660119b7,
F14,Float64,392,0.043162,98,false,0.194361,false,0.026467,0.0,1.0,0.6313670886075949,0.2477785210841049,0.0,0.48,0.59,0.82,1.0,false,,aa47bab4abc8b78591ebcea41744917780522e3f16281811484dd29239c603a5,
F15,Float64,334,0.036776,96,false,0.174097,false,0.005373,0.0,1.0,0.6496536351165981,0.2174909535443192,0.18,0.5,0.61,0.8,1.0,false,,154ad99c183db3bbd99934db3bd034078568b2d34cc5aef52e60d2b25c0f5cee,
F16,Float64,85,0.009359,100,false,0.207069,false,0.00389,0.0,1.0,0.7246348782927643,0.23902234219498694,0.12,0.53,0.74,0.98,1.0,false,,603bfbfddc16f15bea6deb717d926dad4f4aad3acd6081b62ae44e73e47db84f,
F17,Float64,392,0.043162,101,false,0.227963,false,0.034522,0.0,1.0,0.6946156501726121,0.2836621773717773,0.0,0.51,0.72,0.99,1.0,false,,4ce7994c45815b1bd260c523e396be9659d3eb88be45cf5a2b675c1acd01fea5,
F18,Float64,334,0.036776,101,false,0.213192,false,0.005944,0.0,1.0,0.7310482395976223,0.23783846184471033,0.08,0.55,0.75,0.98,1.0,false,,cb73349df6b872dfbbf6d553720d9c1c70ce98a59996900d5f24f5975b2cce63,
F19,Float64,404,0.044484,94,false,0.146232,false,0.00726,0.0,1.0,0.6382472920027658,0.20774345997283392,0.16,0.5,0.59,0.76,1.0,false,,832f346ce8381c1f43ab17bf1c125e9b69794668e1c363e4ae422660d56b4f5c,
F20,Float64,1007,0.110879,98,false,0.152693,false,0.034799,0.0,1.0,0.608092879256966,0.24367786438279923,0.0,0.47,0.57,0.75,1.0,false,,4df4b93464f1fced4a67dbeef872cd2962cf3dc43e2d8280b198120734afb295,
F21,Float64,680,0.074873,97,false,0.156153,false,0.007498,0.0,1.0,0.6412187574387052,0.21496685747436767,0.14010000000000006,0.5,0.6,0.78,1.0,false,,1a205bb19bf349997dd8d4b9fb20c57771bcc34793f15923be53368430362b4d,
F22,Float64,404,0.044484,101,false,0.182991,false,0.008066,0.0,1.0,0.7105853883383269,0.24198019853200878,0.04,0.53,0.72,0.96,1.0,false,,7224aa73c3643be45be56b8a26029c5eb3482947e838e9f43549462524279148,
F23,Float64,1007,0.110879,101,false,0.181424,false,0.04322,0.0,1.0,0.6676185758513933,0.28578346069036914,0.0,0.49,0.68,0.95,1.0,false,,93d984b91c14875a37932122b5c05073dd601e40cccb2e56ec9d58d5f4e64e6c,
F24,Float64,680,0.074873,101,false,0.187931,false,0.007974,0.0,1.0,0.718736015234468,0.2388709199768602,0.03,0.54,0.73,0.96,1.0,false,,3167532a8a782d54ab670d84da34d1ebfa48a337907dcd9c36dd062dfda59c55,
F25,Float64,404,0.044484,94,false,0.146232,false,0.00726,0.0,1.0,0.6382472920027658,0.20774345997283392,0.16,0.5,0.59,0.76,1.0,false,,832f346ce8381c1f43ab17bf1c125e9b69794668e1c363e4ae422660d56b4f5c,F19
F26,Float64,1007,0.110879,98,false,0.152693,false,0.034799,0.0,1.0,0.608092879256966,0.24367786438279923,0.0,0.47,0.57,0.75,1.0,false,,4df4b93464f1fced4a67dbeef872cd2962cf3dc43e2d8280b198120734afb295,F20
