feature,target_corr,single_feature_cv_pr_auc,single_feature_cv_roc_auc,mutual_information_bits,label_reconstruction_rate,identifier_like,flag_high_corr,flag_high_single_ap,flag_label_copy,flag_perfect_separation,flag_identifier,suspicious
__UNNAMED__0,0.16284222311502222,1.0,1.0,0.03014964814352064,0.0,true,false,true,false,true,true,true
F1,-0.014360463966458969,0.009755306779171916,0.5404865101949534,0.0018310762627222177,0.0,false,false,false,false,false,false,false
F2,-0.014172760730141063,0.00959919575537967,0.5350163335184156,0.0015448594071246092,0.0,false,false,false,false,false,false,false
F3,-0.01796347829555885,0.009103310970781004,0.5091713303565919,0.0007995148490398815,0.0,false,false,false,false,false,false,false
F4,-0.01820806093353347,0.00971480757519904,0.5383375805879449,0.0016788966759121657,0.0,false,false,false,false,false,false,false
F5,-0.01426996472498028,0.009593598726699102,0.5347455580233204,0.0015438463159924754,0.0,false,false,false,false,false,false,false
F6,-0.022176664400087,0.009103965532635299,0.50913663898143,0.0007549977469542629,0.0,false,false,false,false,false,false,false
F7,0.01670196772628763,0.009413435647618245,0.5078497690326362,0.0009966441761129373,0.0,false,false,false,false,false,false,false
F8,0.05808542776672915,0.009052958292174052,0.49461706844962683,0.0004938383396849489,0.0,false,false,false,false,false,false,false
F9,0.010086062307474641,0.00933662428334111,0.505940602057499,0.00082719380565197,0.0,false,false,false,false,false,false,false
F10,-0.007122503261527258,0.009178264689943346,0.492481370303535,0.0010179310205618893,0.0,false,false,false,false,false,false,false
F11,0.05613848426041417,0.009403311908325402,0.5058708182953915,0.00049383833968495,0.0,false,false,false,false,false,false,false
F12,-0.014238586331968884,0.009277289428592048,0.49977532929236845,0.0008752129936025235,0.0,false,false,false,false,false,false,false
F13,0.031310269962150084,0.012343468315705609,0.5938196751169467,0.0011023402270187918,0.0,false,false,false,false,false,false,false
F14,0.02188254371807318,0.011540226523023866,0.5708585195044147,0.0012929336324118918,0.0,false,false,false,false,false,false,false
F15,0.032256376947382405,0.012232323498158117,0.5978004454905227,0.0016843024711655878,0.0,false,false,false,false,false,false,false
F16,0.022520846322113573,0.011808229251189416,0.5774973107487489,0.001168490850565301,0.0,false,false,false,false,false,false,false
F17,0.004254417150715431,0.009471632946618003,0.4827259614076058,0.0017646522212482242,0.0,false,false,false,false,false,false,false
F18,0.03595529152777963,0.012939638150300244,0.6134016989245263,0.0019038390350702105,0.0,false,false,false,false,false,false,false
F19,0.03594859905876225,0.0132928565113275,0.6035422368836485,0.0015474782648330198,0.0,false,false,false,false,false,false,false
F20,0.0312934960266835,0.013965035153156636,0.6021371147292898,0.003203068048658197,0.0,false,false,false,false,false,false,false
F21,0.036554778610745194,0.013265617914564565,0.6083038929897333,0.0021838700120024885,0.0,false,false,false,false,false,false,false
F22,0.027052182000421733,0.012929026673103253,0.5942408577025109,0.0019382011368028456,0.0,false,false,false,false,false,false,false
F23,0.011086426230285067,0.013018561996320264,0.5595281012182773,0.002649679405446556,0.0,false,false,false,false,false,false,false
F24,0.04106112647706081,0.014342244496355083,0.6320205208934396,0.0029743094899992864,0.0,false,false,false,false,false,false,false
F25,0.03594859905876225,0.0132928565113275,0.6035422368836485,0.0015474782648330198,0.0,false,false,false,false,false,false,false
F26,0.0312934960266835,0.013965035153156636,0.6021371147292898,0.003203068048658197,0.0,false,false,false,false,false,false,false
F27,0.036554778610745194,0.013265617914564565,0.6083038929897333,0.0021838700120024885,0.0,false,false,false,false,false,false,false
F28,0.027052182000421733,0.012929026673103253,0.5942408577025109,0.0019382011368028456,0.0,false,false,false,false,false,false,false
